"2","2005-11-07 16:25:07","What up listeners?!"
"5","2005-11-10 23:18:04","Episode 8 - Webcomics"
"12","2005-11-21 23:37:33","Episode 13 - Geek Fables Segment"
"13","2005-11-28 11:42:10","Site design"
"14","2005-11-28 23:16:17","Episode 15 - A bunch of crazy stuff"
"15","2005-11-29 23:56:29","Episode 16 - Some German Games"
"16","2005-12-01 13:56:45","Suggestion (not serious)"
"18","2005-12-02 21:31:49","I'm coming out of the lurking depths. w00t."
"19","2005-12-03 21:06:57","Here's what I think"
"21","2005-12-05 14:25:57","Rym's diet gets some press"
"22","2005-12-05 20:08:18","Episode 19 - How not to suck with money"
"23","2005-12-06 18:52:41","About the podcast..."
"26","2005-12-07 23:36:16","Bumper music between bits"
"33","2005-12-13 16:33:39","Mondays"
"36","2005-12-14 20:57:06","Episode 25 - The Crap Episode"
"40","2005-12-16 11:48:58","Inside Jokes"
"57","2005-12-29 23:49:13","Episode 33 - Star Wars"
"58","2006-01-03 09:57:12","Episode 34 - Food Stories"
"63","2006-01-05 23:44:26","Episode 37 - Television from Childhood"
"85","2006-01-23 11:12:25","GeekNights is going to Otakon!"
"105","2006-02-03 11:45:30","a Scott Rubin moment!"
"112","2006-02-10 15:38:53","Changing mp3 hosting"
"114","2006-02-13 23:38:01","Episode 58 - Just Talking"
"115","2006-02-14 11:20:03","1 hour logo"
"118","2006-02-15 23:34:06","suggestion"
"123","2006-02-20 22:03:22","Episode 61 - An argument between Scotts"
"124","2006-02-21 13:40:30","Episode 61 - Nerd News part deux"
"125","2006-02-21 14:41:34","Themed weeks. OMGSPLOSION!"
"127","2006-02-21 22:42:29","Shows you want to hear"
"128","2006-02-21 23:41:17","Episode 62 - Professionalism Right out the Window"
"131","2006-02-23 22:41:58","Episode 64 - Driving"
"139","2006-03-03 16:52:25","Yahoo Podcasts"
"159","2006-03-16 17:43:56","Episode 75 - Favorite Anime"
"161","2006-03-17 05:42:39","Episode 76- Favorite Sports"
"171","2006-03-22 01:30:25","Episode 77 - The Livingroom Computer"
"183","2006-03-25 02:47:47","Episode 80 - South Park and Futurama"
"190","2006-03-28 11:44:19","suggestion for tech day"
"196","2006-03-30 02:42:54","Theme Weeks"
"201","2006-03-31 21:52:08","Forum Exclusive: New Theme Preview"
"203","2006-04-01 12:47:36","watch rym and scott live"
"214","2006-04-03 16:43:34","questions of the show"
"221","2006-04-04 23:41:04","Volsted Act of 1919"
"227","2006-04-06 11:44:56","New Theme is Up!"
"229","2006-04-07 11:39:19","Polls!"
"231","2006-04-08 11:45:18","Dexter's Lab"
"238","2006-04-10 21:32:58","Merch?"
"240","2006-04-11 00:08:21","Rym says this constantly and it irks me"
"246","2006-04-12 02:19:17","the flame geek coming clean."
"259","2006-04-14 10:01:25","Geek Nights Logos"
"263","2006-04-16 17:25:53","Procrastination"
"270","2006-04-18 07:40:53","Bad feed item"
"278","2006-04-19 20:20:40","The Monitor Episode."
"282","2006-04-20 15:06:39","Tech Support 101"
"284","2006-04-20 21:49:38","TROGDOR42's Logo"
"288","2006-04-21 10:31:43","The Audio Quality of GeekNights"
"289","2006-04-22 20:11:07","Juggling:  Jason Garfield vs. Chris Bliss"
"295","2006-04-25 10:43:55","Is Tuesday night the 100th show?"
"304","2006-04-28 08:52:19","\"hah haa!\""
"309","2006-04-30 03:11:04","Is there a better term than \"Geek\"?"
"322","2006-05-05 04:01:26","Episode 104 - Illness and Injury"
"339","2006-05-10 03:12:06","Theme Week"
"371","2006-05-22 15:55:03","RSS enclosures missing"
"382","2006-05-26 11:21:08","The Scott Show"
"399","2006-06-02 05:03:56","How did you find GeekNights?"
"400","2006-06-02 17:08:41","Rym's German Idol"
"409","2006-06-06 07:02:45","simplest gate"
"425","2006-06-09 22:29:09","GeekNights is Much Better than The Moon Masters."
"436","2006-06-13 16:18:00","FRC Calendar"
"437","2006-06-13 16:52:01","What do you need?"
"446","2006-06-16 16:00:49","Google Calendar"
"485","2006-06-27 21:56:06","Real-life \"The Birds\""
"501","2006-07-04 00:16:57","Promos"
"505","2006-07-04 23:06:05","Rym solo v. Scott solo."
"506","2006-07-05 06:14:47","go fight the war!"
"515","2006-07-06 21:25:35","TEH LOL!!!! bad parent"
"524","2006-07-08 11:15:09","Dentistry"
"530","2006-07-11 04:15:49","OpenDNS kills kittens. OMG"
"531","2006-07-11 06:58:45","Show Ideas and Reminders"
"547","2006-07-13 14:52:47","The \"First time here?\" Episode"
"550","2006-07-14 07:00:08","Moving"
"580","2006-07-20 22:53:16","Episode 060720 - The Zeal"
"582","2006-07-21 10:48:42","Decide on the Show Format"
"606","2006-07-25 19:56:31","What is the \"Front Row Crew\"?"
"611","2006-07-26 13:39:42","Rym spins leek"
"617","2006-07-27 13:32:52","Funny Face AMV"
"679","2006-08-17 23:58:46","The Goatse Shirt (NSFW)"
"706","2006-08-24 18:20:13","Episode 152- Our First Hatemail"
"716","2006-08-27 11:03:41","party games for geeks?"
"767","2006-09-06 11:18:16","Webcomics Roundtable at Otakon 2006"
"773","2006-09-07 14:16:19","Mispronunciation of the day"
"782","2006-09-08 13:41:24","Thanks for the advice"
"799","2006-09-11 21:34:18","Vote on topic for episode 060912"
"811","2006-09-13 13:55:49","Rym's thing of the day for 9/12"
"812","2006-09-13 19:41:46","Evolution vs Intelligent Design"
"821","2006-09-14 15:53:20","Rym's pages?"
"837","2006-09-18 23:19:45","Tired on Mondays (Or, nominally, sound cards)"
"850","2006-09-20 20:25:14","FRC Forums Easter Egg?"
"882","2006-09-27 07:39:40","Turn it in and plagiarism"
"888","2006-09-28 10:32:54","GeekNights 060927 - Gag Manga Biyori"
"894","2006-09-29 11:01:13","Today's factual error"
"909","2006-10-03 10:46:01","I hate doing this"
"913","2006-10-04 00:46:42","GeekNights 060925 - â€œFreeâ€ Software Licenses"
"927","2006-10-05 02:39:57","iTunes Show Description"
"930","2006-10-05 11:29:25","Questions for Emily"
"934","2006-10-06 00:13:51","\"Freaking Squares\" Thing of the Day"
"971","2006-10-12 23:45:00","Episode 061012 - A terrible episode"
"972","2006-10-13 09:03:39","Ask Rym and Scott"
"973","2006-10-13 11:06:20","You can't make a bananna pie! (wanna bet?)"
"1035","2006-10-24 19:25:54","flamminggeek 2.0"
"1053","2006-10-26 10:41:10","Swag time"
"1070","2006-10-30 11:14:37","Show Idea"
"1086","2006-10-31 11:55:20","One Year Of Geeknights"
"1088","2006-10-31 19:36:19","What are our best episodes?"
"1139","2006-11-11 11:43:38","Your Favorite episode of GeekNights"
"1144","2006-11-13 11:57:21","Podlinez"
"1212","2006-11-29 08:55:06","Using Garage Band to Compose Podcast Music."
"1220","2006-12-01 09:38:58","GeekNights 061130 - A Rambling Retrospective"
"1235","2006-12-05 20:10:01","Thing of the day music."
"1255","2006-12-08 22:02:13","GeekNights Special 006 - Cheesy 80s Metal"
"1278","2006-12-14 00:58:10","GeekNights 061213 - Jeff Tatarek on Anime Music Videos"
"1298","2006-12-18 11:47:43","Digg Podcasts"
"1314","2006-12-20 12:35:25","Problem with GeekNights and Digg Podcasts"
"1363","2006-12-29 07:33:54","GeekNights 061228 - The GeekNights That Wasn't"
"1392","2007-01-05 07:17:07","Creative Commons"
"1395","2007-01-07 00:58:28","Help for a Geek stuck on dialup....."
"1492","2007-01-24 15:51:23","GeekNights 070123 - BattleLore"
"1507","2007-01-26 21:32:49","Genre: Podcast?"
"1536","2007-02-02 15:29:30","Other Podcasts (or, why GeekNights is #2)"
"1572","2007-02-09 12:16:37","New Site"
"1590","2007-02-14 00:23:30","GeekNights 070213 - Thurn and Taxis"
"1645","2007-02-23 08:45:57","GeekNights 070222 - GeekBacks Ahoy"
"1654","2007-02-25 14:22:52","Video Podcast"
"1675","2007-02-27 23:22:29","GeekNights 070227 - Super Mario World"
"1681","2007-02-28 23:09:12","GeekNights 070228 - New York Comic-Con"
"1719","2007-03-08 23:17:10","No Thrusday Show?!"
"1733","2007-03-12 23:15:03","GeekNights 070312 - No Internets"
"1738","2007-03-14 04:08:06","ETA on the show's return?"
"1838","2007-04-04 20:13:17","GeekChat"
"1847","2007-04-06 15:12:01","Anime-Pulse on the \"Worst Podcasts\" episode..."
"1880","2007-04-12 00:47:39","GeekNights 070411 - Dominion Tank Police"
"1921","2007-04-17 14:33:53","No Show Tonight"
"1975","2007-04-26 17:47:08","GeekNights 070425 - Four New Anime"
"1979","2007-04-26 23:30:29","GeekNights 070426 - Cop Out"
"2014","2007-05-02 23:31:40","GeekNights 070502 - Four More New Anime"
"2018","2007-05-03 23:14:34","GeekNights 070503 - Meta GeekBack/Listener's Choice"
"2050","2007-05-08 01:02:53","GeekNights 070507 - Computer Cases"
"2120","2007-05-17 10:39:20","GeekNights 070516 - Ghost in the Shell: Stand Alone Complex both gigs"
"2133","2007-05-19 12:50:47","GeekNights Experimental Launch"
"2229","2007-06-01 22:39:30","I certainly hope Geeknights isn't podfading."
"2270","2007-06-08 11:35:07","GeekNights 070607 - Horatio Hornblower"
"2274","2007-06-08 19:24:12","Applegeeks Plug"
"2379","2007-06-21 11:32:28","Atomic Warrior: Valiant Denim!!"
"2411","2007-06-26 02:08:37","Digg's search."
"2477","2007-07-02 15:32:25","Who was a listener from the start?"
"2608","2007-07-18 14:19:46","GeekNights 070716 and the worms"
"2623","2007-07-21 20:24:29","Get next week's GeekNights early."
"2651","2007-07-26 17:10:54","Downloading the latest ep."
"2689","2007-08-02 14:19:42","Podcast Review Segment"
"2718","2007-08-06 14:17:35","Rym's Scream of Fury"
"2738","2007-08-09 09:52:45","Buffalo vs Lion vs Gator"
"2762","2007-08-12 00:29:50","How about releasing an OGG stream?"
"2937","2007-09-03 14:56:54","RFC: Frontrowcrew.com Redesign"
"3065","2007-09-20 13:43:48","How many have gone back and listened to every episode?"
"3066","2007-09-20 13:53:37","Experimental Feed - Final Thoughts"
"3075","2007-09-21 16:18:38","GeekNights 070920 How not to suck at college part 1"
"3100","2007-09-25 10:05:29","Ask Rym & Scott - Monday Sci/Tech"
"3109","2007-09-26 22:47:04","Old Episodes"
"3110","2007-09-26 22:49:42","GeekNights Special 014 - This is Not a Charity!"
"3114","2007-09-27 12:57:58","Are the MP3 tags missing?"
"3139","2007-10-02 12:36:12","Ask Rym & Scott - Wednesday Anime, Manga, Comics"
"3145","2007-10-03 07:36:19","GeekNights 071002 - The Burning Wheel"
"3194","2007-10-12 11:07:21","GeekNights 071011 - Dumpster Diving"
"3212","2007-10-16 11:06:59","Question Show"
"3260","2007-10-24 10:34:12","Pronunciation of \"ubiquitous\""
"3324","2007-10-31 23:43:26","GeekNights 071031 - Apolloâ€™s Song"
"3383","2007-11-09 20:58:37","The Shit-Talking Prevention Thread"
"3402","2007-11-13 09:25:22","GeekNights 071112 - Surround Sound"
"3407","2007-11-13 22:57:30","GeekNights 071113 - Scott's Achievement Rant"
